Ticker,Date,daily_return
AAPL,2000-09-29,-0.5187
AAPL,2000-12-06,-0.1581
AAPL,2001-07-18,-0.1717
AAPL,2002-06-19,-0.1504
AAPL,2008-09-29,-0.1792
AAPL,2025-04-09,0.1533
CSCO,2000-04-17,0.1667
CSCO,2001-01-03,0.2402
CSCO,2001-10-03,0.2152
CSCO,2002-05-08,0.2439
CSCO,2010-11-11,-0.1621
CSCO,2011-08-11,0.1595
CVX,2008-10-13,0.2085
CVX,2020-03-09,-0.1537
CVX,2020-03-16,-0.1645
CVX,2020-03-18,-0.2212
CVX,2020-03-24,0.2274
DIS,2000-01-10,0.1526
DIS,2000-11-09,-0.1559
DIS,2001-09-17,-0.1836
DIS,2008-10-13,0.1597
GE,2009-03-10,0.197
GE,2020-03-16,-0.1516
HD,2000-10-12,-0.2874
HD,2020-03-16,-0.1979
IBM,2000-10-18,-0.1554
IBM,2026-07-14,-0.2521
INTC,2000-09-22,-0.2203
INTC,2001-04-18,0.2012
INTC,2002-06-07,-0.1852
INTC,2002-10-16,-0.1804
INTC,2020-03-13,0.1952
INTC,2020-03-16,-0.1804
INTC,2020-07-24,-0.1624
INTC,2024-08-02,-0.2606
INTC,2025-02-18,0.1606
INTC,2025-04-09,0.1875
INTC,2025-09-18,0.2277
INTC,2026-01-23,-0.1703
INTC,2026-04-24,0.236
JNJ,2002-07-19,-0.1585
JPM,2001-01-03,0.159
JPM,2002-07-23,-0.1811
JPM,2002-07-24,0.1604
JPM,2008-07-16,0.1586
JPM,2008-09-19,0.1675
JPM,2008-09-29,-0.1501
JPM,2008-11-20,-0.1788
JPM,2008-11-24,0.2139
JPM,2008-12-01,-0.175
JPM,2009-01-20,-0.2073
JPM,2009-01-21,0.251
JPM,2009-03-10,0.2264
JPM,2009-03-23,0.2467
JPM,2009-04-09,0.1939
JPM,2020-03-13,0.1801
MCD,2020-03-16,-0.1588
MCD,2020-03-24,0.1813
MMM,2024-07-26,0.2299
MRK,2004-09-30,-0.2678
MSFT,2000-04-24,-0.156
MSFT,2000-10-19,0.1957
MSFT,2008-10-13,0.186
MSFT,2026-07-30,0.1551
NKE,2000-02-08,-0.1823
NKE,2001-02-27,-0.1981
NKE,2020-03-24,0.1518
NKE,2021-06-25,0.1553
NKE,2024-06-28,-0.1998
NKE,2025-06-27,0.1519
NKE,2026-04-01,-0.1551
ORCL,2000-04-17,0.197
ORCL,2000-11-30,0.1585
ORCL,2001-01-03,0.2133
ORCL,2001-03-02,-0.2105
ORCL,2001-09-24,0.1636
ORCL,2020-03-13,0.2043
ORCL,2021-12-10,0.1561
ORCL,2025-09-10,0.3595
PG,2000-03-07,-0.3024
T,2008-10-13,0.1628
UNH,2008-03-11,-0.1515
UNH,2008-09-29,-0.1864
UNH,2008-09-30,0.209
UNH,2008-10-13,0.3475
UNH,2020-03-16,-0.1728
UNH,2025-04-17,-0.2238
UNH,2025-05-13,-0.1779
UNH,2026-01-27,-0.1961
XOM,2008-10-13,0.1719
